Program,Lokalizacja stacji,F [MHz],Dł.geogr.,Sz.geogr.,Układ wsp.,ERP[kW],H ant.,Dl.dd,Sz.dd,geometry
Radio Maryja,Lipiany,99.5,"14E56'04""","53N01'11""",WGS84,1.0,73.0,14.934444,53.019722,POINT (14.934444 53.019722)
Radio Maryja,Pełczyce,107.2,"15E18'42""","53N02'08""",WGS84,0.5011872336272722,71.0,15.311667,53.035556,POINT (15.311667 53.035556)
Radio Regionalne,RTCN Białogard Sławoborze,92.5,"15E40'59""","53N53'05""",WGS84,15.135612484362072,173.0,15.683056,53.884722,POINT (15.683056 53.884722)
RMF FM,Białogard Sławoborze,96.4,"15E41'03""","53N53'08""",WGS84,15.135612484362072,173.0,15.684167,53.885556,POINT (15.684167 53.885556)
Program 2,"78-314 Sławoborze, Trzciana",98.2,"15E40'59""","53N53'05""",WGS84,15.135612484362072,173.0,15.683056,53.884722,POINT (15.683056 53.884722)
Program 3,"78-314 Sławoborze, Trzciana",101.5,"15E40'59""","53N53'05""",WGS84,15.135612484362072,173.0,15.683056,53.884722,POINT (15.683056 53.884722)
Radio ZET,Białogard Sławoborze,104.2,"15E41'03""","53N53'08""",WGS84,10.000000000000002,173.0,15.684167,53.885556,POINT (15.684167 53.885556)
Program 1,"78-314 Sławoborze, Trzciana",106.0,"15E40'59""","53N53'05""",WGS84,10.000000000000002,173.0,15.683056,53.884722,POINT (15.683056 53.884722)
Program 1,Białystok Krynice,92.3,"23E01'28""","53N13'52""",WGS84,30.19951720402015,243.0,23.024444,53.231111,POINT (23.024444 53.231111)
Program 3,Białystok Krynice,96.0,"23E01'28""","53N13'52""",WGS84,30.19951720402015,243.0,23.024444,53.231111,POINT (23.024444 53.231111)
Radio Białystok,Białystok Krynice,99.4,"23E01'28""","53N13'52""",WGS84,30.19951720402015,243.0,23.024444,53.231111,POINT (23.024444 53.231111)
RMF FM,Białystok Krynice,100.2,"23E01'28""","53N13'52""",WGS84,120.22644346174125,213.0,23.024444,53.231111,POINT (23.024444 53.231111)
RMF FM,Białystok Krynice,100.2,"23E01'28""","53N13'52""",WGS84,120.22644346174125,213.0,23.024444,53.231111,POINT (23.024444 53.231111)
Radio Maryja,"Białystok, ul. Cieszyńska",104.7,"23E08'57""","53N07'38""",WGS84,1.0,64.0,23.149167,53.127222,POINT (23.149167 53.127222)
Radio Maryja,Białystok Krynice,104.7,"23E01'28""","53N13'52""",WGS84,120.22644346174125,213.0,23.024444,53.231111,POINT (23.024444 53.231111)
Radio ZET,Białystok Krynice,107.3,"23E01'28""","53N13'52""",WGS84,75.85775750291836,213.0,23.024444,53.231111,POINT (23.024444 53.231111)
Radio ZET,Białystok Krynice,107.3,"23E01'28""","53N13'52""",WGS84,120.22644346174125,213.0,23.024444,53.231111,POINT (23.024444 53.231111)
Radio Regionalne,38-612 Solina,99.2,"22E29'21""","49N22'58""",WGS84,5.011872336272723,70.0,22.489167,49.382778,POINT (22.489167 49.382778)
RMF FM,Bieszczady G. Jawor,101.1,"22E29'34""","49N23'01""",WGS84,30.19951720402015,70.0,22.492778,49.383611,POINT (22.492778 49.383611)
Radio ZET,Bieszczady G. Jawor,103.1,"22E29'34""","49N23'01""",WGS84,13.182567385564083,70.0,22.492778,49.383611,POINT (22.492778 49.383611)
Radio ZET,Bieszczady G. Jawor,103.1,"22E29'34""","49N23'01""",WGS84,30.19951720402015,70.0,22.492778,49.383611,POINT (22.492778 49.383611)
Radio FARA - Rozgłośnia Archidiecezji Przemyskiej,Czarnorzeki k. Krosna,104.5,"21E49'58""","49N44'20""",WGS84,1.0,48.0,21.832778,49.738889,POINT (21.832778 49.738889)
PR I,59-920 Bogatynia,92.8,"14E59'25""","50N52'37""",WGS84,1.0,52.0,14.990278,50.876944,POINT (14.990278 50.876944)
Radio Plus Legnica,Łysa Góra k. Dziwiszowa,94.9,"15E48'06""","50N57'39""",WGS84,5.011872336272723,69.0,15.801667,50.960833,POINT (15.801667 50.960833)
Radio Maryja,Bogatynia Góra Wysoka,100.3,"14E59'23""","50N52'38""",WGS84,1.0,58.0,14.989722,50.877222,POINT (14.989722 50.877222)
Radio Plus Legnica,Lubań Stóg Izerski,102.8,"15E18'13""","50N53'27""",WGS84,1.0,45.0,15.303611,50.890833,POINT (15.303611 50.890833)
PR II,"82-316 Jagodnik, działka nr 110",102.3,"19E29'41""","54N12'28""",WGS84,5.011872336272723,87.0,19.494722,54.207778,POINT (19.494722 54.207778)
Program 2,Elbląg Jagodnik,102.3,"19E29'41""","54N12'28""",WGS84,5.011872336272723,87.0,19.494722,54.207778,POINT (19.494722 54.207778)
Radio Maryja,Elbląg Jagodnik,104.2,"19E29'34""","54N12'27""",WGS84,10.000000000000002,87.0,19.492778,54.2075,POINT (19.492778 54.2075)
Radio Maryja,"Lidzbark Warmiński, ul. Dąbrowskiego 19",106.2,"20E33'57""","54N08'24""",WGS84,10.964781961431848,74.0,20.565833,54.14,POINT (20.565833 54.14)
RMF FM,Bydgoszcz Trzeciewiec,93.3,"18E10'25""","53N16'00""",WGS84,120.22644346174125,265.0,18.173611,53.266667,POINT (18.173611 53.266667)
Radio ZET,Bydgoszcz Trzeciewiec,95.6,"18E10'25""","53N16'00""",WGS84,120.22644346174125,265.0,18.173611,53.266667,POINT (18.173611 53.266667)
